AAA,abcd,2h,F
AB,abcd,2h,FS
ABn,abcd,2h,FS
An,abcd,2h,FS
AnB2n,abcd,2h,CF
AnBn,abcd,2h,CF
AnBm,abcd,2h,CF
AAAA,abcd,2h,F
AnBnCn,abcd,2h,CS
AnBmCn,abcd,2h,CF
AnBnC2n,abcd,2h,CS
XXR,abcd,2h,CF
XX,abcd,2h,CS
XXX,abcd,2h,CS?
GoldenMean,abcd,2h,FS
Even,abcd,2h,FS
AnBnCnDn,abcd,2h,CS
AnCBn,abcd,2h,CF
AnABn,abcd,2h,CF
AnABAn,abcd,2h,CF
ABnABAn,abcd,2h,CF
ABaaaAB,abcd,2h,FS
aABb,abcd,2h,FS
ABA,gGtTnNlL,2h,?
ABB,gGtTnNlL,2h,?
Bach2,abcd,2d,CS?
Bach3,abcd,2d,CS?
XXI,abcd,2d,CS
XXRI,abcd,2d,CF
XY,abcd,2d,CS?
ABAnBn,abcd,2d,CF
A2en,abcd,2d,?
ABnen,abcd,2d,?
AnBm,abcd,2d,CF
AnBmCm,abcd,2d,CF
AnBmCnpm,abcd,2d,?
AnBmCnm,abcd,2d,?
AnBk,abcd,2d,?
Count,abcd,2d,?
AnBmCmAn,abcd,2d,CF
AnBmCnDm,abcd,2d,CS
Gomez2,abcde1234567890wxyz,2d,
Gomez6,abcde1234567890wxyz,2d,
Gomez12,abcde1234567890wxyz,2d,
HudsonKamNewport60,!vVnd,2d,
ReederNewportAslin,aAsbBnxXcqQrR,2d,
SimpleEnglish,dnavt,3d,CF
MediumEnglish,dnavtp,3d,CF
FancyEnglish,dnavtpih,3d,CF
Dyck,(),3d,CF
Saffran,tprglbBdkPDT,3d,FS
NewportAslin,btgdprkuli1234,3d,
MorganNewport,ACDEF,3d,CF
MorganMeierNewport,ACDEFouai,3d,CF
Man,man,3d,F
Reber,PSTVX,3d,FS
BerwickPilato,JgGdDeiWhHNvVmMjbBEow,3d,FS
