Ltt	15869
lNN	15843
Ggg	15831
tTT	15794
TLL	15790
LTT	15790
GNN	15789
Gtt	15780
Tnn	15750
LGG	15745
ltt	15739
lnn	15733
TTT	15730
ggg	15721
NLL	15720
Lll	15714
tNN	15708
Tgg	15708
Nnn	15707
ngg	15699
GGG	15693
NGG	15693
gll	15675
lTT	15673
nnn	15670
tgg	15670
nNN	15668
Tll	15663
lll	15661
LLL	15660
gnn	15658
Ngg	15657
GTT	15653
nLL	15651
TGG	15647
TNN	15643
Lnn	15638
gNN	15632
Gll	15630
GLL	15610
NNN	15600
gtt	15600
gGG	15598
tnn	15598
Ntt	15590
tLL	15578
nll	15570
Ttt	15569
Lgg	15562
nGG	15548
NTT	15540
ttt	15499
lgg	15494
Gnn	15464
tGG	15439
tll	15432
LNN	15415
Nll	15408
lLL	15407
gTT	15401
lGG	15399
nTT	15374
gLL	15316
ntt	15294
