row,subj,time,trial,stimulus,guess
1,0,1476374184168,0,OOOBBBOB,BOOOOBBO
2,0,1476374211726,1,OOBBOBOO,BOOBOOBB
3,0,1476374231989,2,OOOOBOOO,BOBOOBBO
4,0,1476374251332,3,OOBBOBBO,BOBOBOBO
5,0,1476374273194,4,OBOOBOBO,BBOBBOOB
6,1,1476374097422,0,BBOOBOBO,BOBOBBOB
7,1,1476374115163,1,BBBBBOOO,BOBBBOBB
8,1,1476374129470,2,BOBBOOBB,BBBOOBOB
9,1,1476374143289,3,OBOOBOBO,BOOOOBOB
10,1,1476374157382,4,BBBBOBBO,BBBOBBOB
11,2,1476374069773,0,OBBOOOBO,OOOBOOOO
12,2,1476374084844,1,OBBOBBOO,OOOOOOOO
13,2,1476374095673,2,BBBOBOBO,OOOOOOOO
14,2,1476374105451,3,BBBOBOBB,OOOOOOOO
15,2,1476374114825,4,OOOOOBOB,OOOOOOOO
16,3,1476374152140,0,OOOBOOBO,OOBOOOOO
17,3,1476374179957,1,OOBBOOBB,OOOOOOBB
18,3,1476374209121,2,BBOOBOBB,BBBOBBBO
19,3,1476374243520,3,BOOBBOOB,OBBBOBBO
20,3,1476374271923,4,OOBOOBOB,OOOBOOBO
21,4,1476374247034,0,OOBOOBOB,OBOOBOOO
22,4,1476374295857,1,BOOOBBBB,OBBOOBBO
23,4,1476374334043,2,BOBOBBOB,OOBOBOBO
24,4,1476374376163,3,OBBOOBBO,BOBBOBBO
25,4,1476374419243,4,OOOOOOBO,BOBBOOOB
26,5,1476374172840,0,OOOBOOBO,BOBOBOOB
27,5,1476374213296,1,OBBBOBBO,OOOBOBBO
28,5,1476374261885,2,BBBBBOOO,BOBOBBOO
29,5,1476374310769,3,OOOBOBOB,OOOOBOBO
30,5,1476374344504,4,OBBOBOBB,OBOBOBOB
31,6,1476374191346,0,OOBBOBOO,BBOOBOOO
32,6,1476374212932,1,BBBBBOOO,BBBBBBBO
33,6,1476374237332,2,OBOBBBOB,OOOBOOBB
34,6,1476374255867,3,BOOBOBOB,OBBBBOOO
35,6,1476374272532,4,OBOBOBBO,BBBBBBOO
36,7,1476373989273,0,BBBBOOBO,BOOBBOOB
37,7,1476374016776,1,BOBBOOOB,OBBBBOOO
38,7,1476374039887,2,BOBBBBBO,BBOOBBOB
39,7,1476374059951,3,BOOOOOOB,BBOOBBOO
40,7,1476374078974,4,BOOOOOOO,BBBOBBOO
41,8,1476374223678,0,BBOOOBOO,BBBOBOBB
42,8,1476374268869,1,BBOBBBOB,BBOBOOOO
43,8,1476374307188,2,OBBBOOBB,BOOBBBBO
44,8,1476374332589,3,OOOOOOBB,BOOBOOOB
45,8,1476374358197,4,OOBBOBOO,OOOBBOBB
46,9,1476374274055,0,BBOOOBOB,BBOBBBOO
47,9,1476374290705,1,OOBOBOOO,BOOBOBBO
48,9,1476374306311,2,OBBBBOBB,BBOBBBOO
49,9,1476374318713,3,BBBBOBOB,BBOBBOOB
50,9,1476374330857,4,BOBOOBBB,OBOOBOOO
51,10,1476374335004,0,BBOOOOOO,OBBBBOOO
52,10,1476374349897,1,BOOOBOBB,OBOOOOOO
53,10,1476374368332,2,OOBOBBOO,OOOOOOBO
54,10,1476374381803,3,BOOBBOBB,OBOOBBOO
55,10,1476374438933,4,BBBBBOBO,OOBBBBOB
56,11,1476374331665,0,OOOBOOBB,BOOOOOOO
57,11,1476374370822,1,BOBOOOBO,BBBBBOOO
58,11,1476374386917,2,BBOBOBBB,BBBOBBOB
59,11,1476374406326,3,OBBOBOOO,OOOBBOOB
60,11,1476374425191,4,OBOOOBOB,OOBBOOBO
61,12,1476374363334,0,OOBBBBOO,OBBOOBBO
62,12,1476374380958,1,BBOOBOOB,OOBOOBOO
63,12,1476374396573,2,BOOBOOOO,OBBOBOOB
64,12,1476374409959,3,OOOBOOOB,OOBBBOOO
65,12,1476374426783,4,OOOBBOBB,OOBBOBOO
66,13,1476374402674,0,BOOOOOBO,OOBBOOOO
67,13,1476374426355,1,OOOOOOBO,BBOOOBOO
68,13,1476374451647,2,OBOOBBOO,BBBBOOOO
69,13,1476374473858,3,OOOOBBOO,BBBOOOBB
70,13,1476374493250,4,BOOOBBOO,BBBOOOOO
71,14,1476374423254,0,BOOBBOOB,BOBBOOOO
72,14,1476374461021,1,OBBBBOBB,OOOOOOBB
73,14,1476374488414,2,BOBBBOBB,BBOOBBOB
74,14,1476374533824,3,OOBOOOBB,BBOOOBOB
75,14,1476374559828,4,OOBBOOBB,BBOOBOBB
76,15,1476385148818,0,OBOBOOBB,OBBBOOOO
77,15,1476385159258,1,OOBBOOBO,OOOBBOOB
78,15,1476385169649,2,BBBOOOOO,OOOOOBBB
79,15,1476385178585,3,OOBBOOOO,OOOOOBBB
80,15,1476385212545,4,BBOBOBOB,OOOBBBBB
81,16,1476374670501,0,BOBBOBBO,BBBOBBBO
82,16,1476374692898,1,OBOOBOBB,OBBOBOOB
83,16,1476374716192,2,OOOOOOBB,BOBBOOOB
84,16,1476374732413,3,OOOOOOOB,BOOBOOOO
85,16,1476374769365,4,BOOOOOOO,BBOOOOOO
86,17,1476374738208,0,OBOBOOBB,OBBBOOBO
87,17,1476374751864,1,OOBBOBBO,OBOOBBBB
88,17,1476374769688,2,BBOBBOBB,OOOBBBOO
89,17,1476374784592,3,BBOBOOOO,OBBOOBBB
