target	set	yes	no
1	1	5	4
2	1	6	3
3	1	7	2
4	1	6	3
5	1	9	1
6	1	4	5
7	1	8	2
8	1	8	5
9	1	12	3
10	1	5	4
11	1	10	2
12	1	4	5
13	1	7	2
14	1	4	6
15	1	9	2
16	1	2	7
17	1	6	3
18	1	4	6
19	1	8	4
20	1	3	9
21	1	7	4
22	1	3	10
23	1	7	6
24	1	1	8
25	1	6	3
26	1	3	7
27	1	2	7
28	1	1	8
29	1	4	6
30	1	2	7
31	1	5	6
32	1	1	10
33	1	2	7
34	1	5	6
35	1	3	6
36	1	4	6
37	1	4	5
38	1	1	8
39	1	4	5
40	1	3	7
41	1	6	4
42	1	2	7
43	1	5	8
44	1	2	7
45	1	4	5
46	1	4	7
47	1	3	6
48	1	1	8
49	1	4	5
50	1	4	6
51	1	3	6
52	1	3	7
53	1	5	9
54	1	6	5
55	1	6	5
56	1	4	5
57	1	2	7
58	1	2	7
59	1	5	5
60	1	4	7
61	1	5	4
62	1	3	7
63	1	4	6
64	1	1	8
65	1	6	5
66	1	3	6
67	1	6	4
68	1	1	8
69	1	3	7
70	1	0	9
71	1	5	4
72	1	3	6
73	1	7	5
74	1	2	7
75	1	3	6
76	1	1	9
77	1	5	5
78	1	2	7
79	1	4	6
80	1	1	8
81	1	5	4
82	1	3	6
83	1	6	3
84	1	2	7
85	1	3	6
86	1	2	9
87	1	4	5
88	1	1	8
89	1	6	4
90	1	0	9
91	1	6	4
92	1	2	8
93	1	4	5
94	1	3	6
95	1	5	6
96	1	3	7
97	1	3	6
98	1	3	6
99	1	4	5
100	1	6	7
1	1,8,27	5	4
2	1,8,27	4	6
3	1,8,27	5	4
4	1,8,27	2	9
5	1,8,27	5	4
6	1,8,27	6	4
7	1,8,27	3	7
8	1,8,27	8	2
9	1,8,27	5	5
10	1,8,27	4	5
11	1,8,27	9	3
12	1,8,27	8	5
13	1,8,27	5	5
14	1,8,27	4	5
15	1,8,27	9	6
16	1,8,27	4	5
