binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=2h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=3224 by user binli at Wed Jun  5 21:44:37 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: a1401fd94666892344c5a625dc4821b4  /proc/3224/exe
#    --input=input.txt
#    --nthreads=4
#    --mcmc=0
#    --mcts=0
#    --time=2h (7200 seconds)
#    --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-15.1409  ",/,/,/,/,/,/,/,/,"
-12.6056  ",/,/,/,/,/,/,/,/,/"
-15.0167  ",/,/,/,/,/,/,/,/,/B"
-14.6507  ",/,/,/,/,/,/,/,/,/G"
-11.2631  ",/,/,/,/,/,/,/,/,/R"
-14.3312  ",/,/,/,/,/,/,/,/,/RR"
-13.9885  ",/,/,/,/,/,/,/,/,R"
-15.4276  ",/R,/R,/R,/R,/R,/R,/R,/R,"
-12.5547  ",/R,/R,/R,/R,/R,/R,/R,/R,/R"
-14.5395  ",/R,/R,/R,/R,/R,/R,/R,/R,/RR"
-13.5666  ",/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR,/RR"
-11.5072  ",/RR,G,/RR,G,/RR,G,/RR,G,/RR"
-15.7995  ",G,G,G,G,G,G,G,G,R"
-16.0833  ",G/,G/,G/,G/,G/,G/,G/,G/,R"
-14.4485  ",G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R,G//R"
-13.2351  ",G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-15.4048  ",G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R,G/R"
-14.0336  ",R,R,R,R,R,R,R,R,R"
-15.1966  ",R,RR,RR,RR,RR,RR,RR,RR,RR"
-14.2127  ",RR,RR,RR,RR,RR,RR,RR,RR,RR"
-12.9246  "/,/,/,/,/,/,/,/,/,"
