binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=G/,/RR\;G/,/RR,G/,/RR\;G/,/RR,G/,/RR,G/,/RR --threads=4 --top=10000 --time=1h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19708 by user binli at Wed May  1 02:49:54 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: cf77927e148f956011d4f822dc54dd0f  /proc/19708/exe
# 	 --input=input.txt
# 	 --nthreads=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1h (3600 seconds)
# 	 --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-13.3139	"/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.3188	"/,/RR,G/,/RR,G/,/RR,G/,/RR,G//,/RR"
-20.0323	"/,/RR,G/,/RR,G/,/RR,G/,/RR,G//RR,G//RR"
-13.3188	"/,/RR,G/,/RR,G/,/RR,G//,/RR,G/,/RR"
-13.3188	"/,/RR,G/,/RR,G/,/RR,G//,/RR,G//,/RR"
-20.0323	"/,/RR,G/,/RR,G/,/RR,G//RR,G/,/RR,G//RR"
-20.0323	"/,/RR,G/,/RR,G/,/RR,G//RR,G//RR,G/,/RR"
-21.4186	"/,/RR,G/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR"
-13.3188	"/,/RR,G/,/RR,G//,/RR,G/,/RR,G/,/RR"
-13.3188	"/,/RR,G/,/RR,G//,/RR,G/,/RR,G//,/RR"
-13.3188	"/,/RR,G/,/RR,G//,/RR,G//,/RR,G/,/RR"
-13.3188	"/,/RR,G/,/RR,G//,/RR,G//,/RR,G//,/RR"
-20.0323	"/,/RR,G/,/RR,G//RR,G/,/RR,G/,/RR,G//RR"
-20.0323	"/,/RR,G/,/RR,G//RR,G/,/RR,G//RR,G/,/RR"
-21.4186	"/,/RR,G/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR"
-20.0323	"/,/RR,G/,/RR,G//RR,G//RR,G/,/RR,G/,/RR"
-21.4186	"/,/RR,G/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR"
-21.4186	"/,/RR,G/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR"
-21.4186	"/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR"
-22.8049	"/,/RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-13.3188	"/,/RR,G//,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.3188	"/,/RR,G//,/RR,G/,/RR,G/,/RR,G//,/RR"
-13.3188	"/,/RR,G//,/RR,G/,/RR,G//,/RR,G/,/RR"
-13.3188	"/,/RR,G//,/RR,G/,/RR,G//,/RR,G//,/RR"
-13.3188	"/,/RR,G//,/RR,G//,/RR,G/,/RR,G/,/RR"
-13.3188	"/,/RR,G//,/RR,G//,/RR,G/,/RR,G//,/RR"
-13.3188	"/,/RR,G//,/RR,G//,/RR,G//,/RR,G/,/RR"
-13.3188	"/,/RR,G//,/RR,G//,/RR,G//,/RR,G//,/RR"
-20.0323	"/,/RR,G//RR,G/,/RR,G/,/RR,G/,/RR,G//RR"
-20.0323	"/,/RR,G//RR,G/,/RR,G/,/RR,G//RR,G/,/RR"
-21.4186	"/,/RR,G//RR,G/,/RR,G/,/RR,G//RR,G//RR,G//RR"
-20.0323	"/,/RR,G//RR,G/,/RR,G//RR,G/,/RR,G/,/RR"
-21.4186	"/,/RR,G//RR,G/,/RR,G//RR,G/,/RR,G//RR,G//RR"
-21.4186	"/,/RR,G//RR,G/,/RR,G//RR,G//RR,G/,/RR,G//RR"
-21.4186	"/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G/,/RR"
-22.8049	"/,/RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR"
-20.0323	"/,/RR,G//RR,G//RR,G/,/RR,G/,/RR,G/,/RR"
-21.4186	"/,/RR,G//RR,G//RR,G/,/RR,G/,/RR,G//RR,G//RR"
-21.4186	"/,/RR,G//RR,G//RR,G/,/RR,G//RR,G/,/RR,G//RR"
-21.4186	"/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G/,/RR"
-22.8049	"/,/RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G//RR,G//RR"
-21.4186	"/,/RR,G//RR,G//RR,G//RR,G/,/RR,G/,/RR,G//RR"
-21.4186	"/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G/,/RR"
-22.8049	"/,/RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G//RR,G//RR"
-21.4186	"/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G/,/RR"
-22.8049	"/,/RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G//RR,G//RR"
-22.8049	"/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G/,/RR,G//RR"
-22.8049	"/,/RR,G//RR,G//RR,G//RR,G//RR,G//RR,G//RR,G/,/RR"
-13.5063	"B/,/RR,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-17.401	"G/,/R,G/,/R,G/,/R,G/,/R,G/,/R"
-17.401	"G/,/R,G/,/R,G/,/R,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/R,G/,/R,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/R,G/,/R,G/,/RR,G/,/RR"
-17.401	"G/,/R,G/,/R,G/,/RR,G/,/R,G/,/R"
-17.401	"G/,/R,G/,/R,G/,/RR,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/R,G/,/RR,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/R,G/,/RR,G/,/RR,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/R,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/R,G/,/RR,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/R,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/R,G/,/RR"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/RR,G/,/R"
-17.401	"G/,/R,G/,/RR,G/,/RR,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,G/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,/,/RR,G/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,/,/RR,G/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,G/,/RR,/,/RR"
-13.9275	"G/,/RR,/,/RR,G/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,B/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,G/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,B/,/RR,G/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,B/,/RR,B/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,B/,/RR,G/,/RR"
-15.5857	"G/,/RR,B/,/RR,G/,/RR,G/,/RR,B/,/RR"
