binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=1h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19716 by user binli at Wed May  1 02:50:02 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: cf77927e148f956011d4f822dc54dd0f  /proc/19716/exe
# 	 --input=input.txt
# 	 --nthreads=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1h (3600 seconds)
# 	 --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-35.5763	",/,/,//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-36.2695	",/,/,//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-36.9626	",/,/,//RB,GB/G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB"
-36.2695	",/,/,//RB,GBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-36.9626	",/,/,//RB,GBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-36.9626	",/,/,//RB,GBGBGB/G,G/RB//G,G/RB//G,G/RB//,/RB,"
-34.8832	",/,/,/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,"
-35.5763	",/,/,/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GB"
-36.2695	",/,/,/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGB"
-36.9626	",/,/,/G,G/RB//G,G/RB//G,G/RB//G,G/RB//,/RB,GBGBGB"
-36.2695	",/,//RB,GB/,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-36.9626	",/,//RB,GB/,/RB,GB/G,G/RB//G,G/RB//,/RB,GB"
-36.9626	",/,//RB,GB/,/RB,GBGB/G,G/RB//G,G/RB//,/RB,"
-37.6558	",/,//RB,GB/,/RB,GBGB/G,G/RB//G,G/RB//,/RB,GB"
-36.2695	",/,//RB,GB/G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-36.9626	",/,//RB,GB/G,G/RB//,/RB,GB/G,G/RB//,/RB,GB"
-36.9626	",/,//RB,GB/G,G/RB//,/RB,GBGB/G,G/RB//,/RB,"
-36.2695	",/,//RB,GB/G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-36.9626	",/,//RB,GB/G,G/RB//G,G/RB//,/RB,GB/,/RB,GB"
-36.9626	",/,//RB,GB/G,G/RB//G,G/RB//,/RB,GBGB/,/RB,"
-36.9626	",/,//RB,GBGB/,/RB,GB/G,G/RB//G,G/RB//,/RB,"
-36.9626	",/,//RB,GBGB/G,G/RB//,/RB,GB/G,G/RB//,/RB,"
-36.9626	",/,//RB,GBGB/G,G/RB//G,G/RB//,/RB,GB/,/RB,"
-32.8229	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,"
-33.516	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GB"
-34.2092	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGB"
-34.9023	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGBGB"
-35.5955	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGBGBGB"
-36.2886	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGBGBGBGB"
-36.9818	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGBGBGBGBGB"
-37.6749	",/,/B,///RB,GB//B,/,/B,//RBB/,/RB,GBGBGBGBGBGBGB"
-33.516	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,"
-34.2092	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,GB"
-34.9023	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,GBGB"
-35.5955	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,GBGBGB"
-36.2886	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,GBGBGBGB"
-36.9818	",/,/B,///RB,GBGB//B,/,/B,//RBB/,/RB,GBGBGBGBGB"
-34.2092	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,"
-34.9023	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,GB"
-35.5955	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,GBGB"
-36.2886	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,GBGBGB"
-36.9818	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,GBGBGBGB"
-37.6749	",/,/B,///RB,GBGBGB//B,/,/B,//RBB/,/RB,GBGBGBGBGB"
-34.9023	",/,/B,///RB,GBGBGBGB//B,/,/B,//RBB/,/RB,"
-35.5955	",/,/B,///RB,GBGBGBGB//B,/,/B,//RBB/,/RB,GB"
-36.2886	",/,/B,///RB,GBGBGBGB//B,/,/B,//RBB/,/RB,GBGB"
-36.9818	",/,/B,///RB,GBGBGBGB//B,/,/B,//RBB/,/RB,GBGBGB"
-37.6749	",/,/B,///RB,GBGBGBGB//B,/,/B,//RBB/,/RB,GBGBGBGB"
-35.5955	",/,/B,///RB,GBGBGBGBGB//B,/,/B,//RBB/,/RB,"
-36.2886	",/,/B,///RB,GBGBGBGBGB//B,/,/B,//RBB/,/RB,GB"
-36.9818	",/,/B,///RB,GBGBGBGBGB//B,/,/B,//RBB/,/RB,GBGB"
-36.2886	",/,/B,///RB,GBGBGBGBGBGB//B,/,/B,//RBB/,/RB,"
