binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=/RB,GB/\;/RB,GB/,/RB,GB/\;/RB,GB/,/RB,GB/,/RB,GB/ --threads=4 --top=10000 --time=2h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=3231 by user binli at Wed Jun  5 21:44:39 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: a1401fd94666892344c5a625dc4821b4  /proc/3231/exe
# 	 --input=input.txt
# 	 --nthreads=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=2h (7200 seconds)
# 	 --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-14.9391	",/B,/B,/B,/B,/B,/B,/B,/B,/B"
-12.8761	",B,B,B,B,B,B,B,B,B"
-14.8883	",B,B,B,B,B,B,B,B,G"
-11.7479	",B,B,B/,B,B,B/,B,B/,B/"
-12.3166	",GB,GB,GB,GB,GB,GB,GB,GB,GB"
-13.7467	",GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-14.2858	",RB,RB,RB,RB,RB,RB,RB,RB,B"
-15.1274	",RB,RB,RB,RB,RB,RB,RB,RB,G"
-13.3355	",RB,RB,RB,RB,RB,RB,RB,RB,RB"
-15.2239	"/,B,B,B,B,B,B,B,B,B"
-11.6708	"/,B/,B,B/,B,B,B/,B,B,B"
-15.9681	"/,B/,B/,B/,B/,B/,B/,B/,B/,B/"
-16.6672	"/,G/,G/,G/,G/,G/,G/,G/,G/,G/"
-15.9156	"/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/,GB/"
-14.6413	"//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B"
-15.3753	"//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B//B,B/"
-14.1431	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G"
-15.1331	"//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G//B,G/"
