binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/KidAlgo/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=2h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=3217 by user binli at Wed Jun  5 21:44:35 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: a1401fd94666892344c5a625dc4821b4  /proc/3217/exe
# 	 --input=input.txt
# 	 --nthreads=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=2h (7200 seconds)
# 	 --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-15.9532	",,,,,,,,,/G/G/G/G/G/G/G/G/G"
-16.3672	",,,,,,,,,G"
-14.5374	",/,/,/,/,/,/,/,/,"
-12.0634	",/,/,/,/,/,/,/,/,/"
-14.2039	",/,/,/,/,/,/,/,/,/B"
-10.5199	",/,/,/,/,/,/,/,/,/G"
-14.1086	",/,/,/,/,/,/,/,/,/R"
-14.3463	",/,/,/,/,/,/,/,/,G"
-15.3779	",/,R/,R/,R/,R/,R/,R/,R/,R/G"
-11.4599	",/G,/G,/G,/G,/G,/G,/G,/G,/G"
-14.0524	",/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-11.7658	",/G,R,/G,R,/G,R,/G,R,/G"
-14.9008	",/R,R/R,R/R,R/R,R/R,R/R,R/R,R/R,R/G"
-13.201	",G,G,G,G,G,G,G,G,G"
-15.1373	",R,R,R,R,R,R,R,R,G"
-15.5316	",R/,R/,R/,R/,R/,R/,R/,R/,G"
-14.7932	",R/,R/,R/,R/,R/,R/,R/,R/,R/G"
-13.6913	",R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G,R//G"
-14.0083	",R//G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.7455	",R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G,R/B/G"
-15.2563	",R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,/G"
-13.7012	",R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G,R/G"
-14.7434	",R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G,R/G/G"
-14.7434	",R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G,R/R/G"
-12.0634	"/,/,/,/,/,/,/,/,/,"
-14.6566	"/,/,/,/,/,/,/,/,/,/"
-16.4644	"/,/,/,/,/,/,/,/,/,/B"
-12.832	"/,/,/,/,/,/,/,/,/,/G"
-14.3119	"/,/,/,/,/,/,/,/,/,/G/G/G/G/G/G/G/G/G"
-16.2663	"/,/,/,/,/,/,/,/,/,/R"
-15.4885	"/,/,/,/,/,/,/,/,/,B"
-12.1708	"/,/,/,/,/,/,/,/,/,G"
-14.9468	"/,/,/,/,/,/,/,/,/,R"
-13.2529	"/,//,//,//,//,//,//,//,//,/G"
-11.354	"/,/G,/,/G,/,/G,/,/G,/,/G"
-13.6973	"/,/G,/G,/G,/G,/G,/G,/G,/G,/G"
-15.5856	"/,/G,/G,/G,/G,/G,/G,/G,/G,G"
-9.13323	"/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-11.9108	"/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G/,/G"
-16.0668	"/,G,G,G,G,G,G,G,G,G"
-11.8893	"/,G,R/,G,R/,G,R/,G,R/,G"
-13.8673	"/,G/,G/,G/,G/,G/,G/,G/,G/,G"
-16.6746	"/,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G,G/G"
-15.3693	"/,R/,R/,R/,R/,R/,R/,R/,R/,R"
