binli@binli-HP-Z420-Workstation:~/Desktop/BinCalGitDir/Fleet/Models/KidAlgo$ ./main --alphabet=BRG --data=R/,/G\;R/,/G,R/,/G\;R/,/G,R/,/G,R/,/G --threads=4 --top=10000 --time=1h
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Running Fleet on binli-HP-Z420-Workstation with PID=19696 by user binli at Wed May  1 02:49:47 2019
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
# Executable checksum: cf77927e148f956011d4f822dc54dd0f  /proc/19696/exe
# 	 --input=input.txt
# 	 --nthreads=4
# 	 --mcmc=0
# 	 --mcts=0
# 	 --time=1h (3600 seconds)
# 	 --restart=0
# ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
-15.654	"/,/G,R/,/G,R/,/G,R/,/G,R/,/G"
-16.4569	"/,/G,R/,/G,R/,/G,R/,/G,R//,/G"
-17.6345	"/,/G,R/,/G,R/,/G,R/,/G,R//G,R//G"
-16.4569	"/,/G,R/,/G,R/,/G,R//,/G,R/,/G"
-16.4569	"/,/G,R/,/G,R/,/G,R//,/G,R//,/G"
-17.6345	"/,/G,R/,/G,R/,/G,R//G,R/,/G,R//G"
-17.6345	"/,/G,R/,/G,R/,/G,R//G,R//G,R/,/G"
-19.0208	"/,/G,R/,/G,R/,/G,R//G,R//G,R//G,R//G"
-16.4569	"/,/G,R/,/G,R//,/G,R/,/G,R/,/G"
-16.4569	"/,/G,R/,/G,R//,/G,R/,/G,R//,/G"
-16.4569	"/,/G,R/,/G,R//,/G,R//,/G,R/,/G"
-16.4569	"/,/G,R/,/G,R//,/G,R//,/G,R//,/G"
-17.6345	"/,/G,R/,/G,R//G,R/,/G,R/,/G,R//G"
-17.6345	"/,/G,R/,/G,R//G,R/,/G,R//G,R/,/G"
-19.0208	"/,/G,R/,/G,R//G,R/,/G,R//G,R//G,R//G"
-17.6345	"/,/G,R/,/G,R//G,R//G,R/,/G,R/,/G"
-19.0208	"/,/G,R/,/G,R//G,R//G,R/,/G,R//G,R//G"
-19.0208	"/,/G,R/,/G,R//G,R//G,R//G,R/,/G,R//G"
-19.0208	"/,/G,R/,/G,R//G,R//G,R//G,R//G,R/,/G"
-20.4071	"/,/G,R/,/G,R//G,R//G,R//G,R//G,R//G,R//G"
